"doc_id","text"
"patch_014","Patch update dragon_knight ability has been buffed. The range value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_015","Patch update juggernaut ability has been removed. The damage value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_016","Patch update phantom_assassin ability has been decreased. The movement speed value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_017","Patch update lina ability has been removed. The duration value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_018","Patch update invoker ability has been modified. The armor value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_019","Patch update invoker ability has been tweaked. The armor value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_020","Patch update crystal_maiden ability has been modified. The mana cost value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_021","Patch update anti_mage ability has been removed. The duration value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_022","Patch update lina ability has been decreased. The mana cost value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_023","Patch update crystal_maiden ability has been decreased. The duration value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_024","Patch update anti_mage ability has been removed. The range value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_025","Patch update dragon_knight ability has been tweaked. The duration value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_026","Patch update phantom_assassin ability has been buffed. The movement speed value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_027","Patch update lina ability has been adjusted. The cooldown value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_028","Patch update anti_mage ability has been tweaked. The duration value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_029","Patch update witch_doctor ability has been reworked. The health value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_030","Patch update invoker ability has been increased. The movement speed value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_031","Patch update juggernaut ability has been tweaked. The armor value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_032","Patch update phantom_assassin ability has been nerfed. The armor value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_033","Patch update pudge ability has been buffed. The range value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_034","Patch update anti_mage ability has been tweaked. The attack speed value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_035","Patch update lina ability has been reworked. The duration value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_036","Patch update phantom_assassin ability has been decreased. The health value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_037","Patch update witch_doctor ability has been modified. The regeneration value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_038","Patch update anti_mage ability has been tweaked. The cooldown value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_039","Patch update lina ability has been buffed. The damage value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_040","Patch update invoker ability has been reworked. The movement speed value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_041","Patch update crystal_maiden ability has been modified. The movement speed value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_042","Patch update lina ability has been decreased. The duration value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_043","Patch update dragon_knight ability has been buffed. The health value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_044","Patch update anti_mage ability has been buffed. The duration value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_045","Patch update invoker ability has been increased. The damage value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_046","Patch update juggernaut ability has been reworked. The health value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_047","Patch update pudge ability has been decreased. The regeneration value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_048","Patch update invoker ability has been adjusted. The cooldown value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_049","Patch update juggernaut ability has been nerfed. The regeneration value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_050","Patch update lina ability has been nerfed. The mana cost value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_051","Patch update pudge ability has been tweaked. The damage value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_052","Patch update witch_doctor ability has been buffed. The mana cost value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_053","Patch update crystal_maiden ability has been decreased. The cooldown value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_054","Patch update lina ability has been decreased. The cooldown value was changed by 15 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_055","Patch update juggernaut ability has been removed. The movement speed value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_056","Patch update juggernaut ability has been tweaked. The duration value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_057","Patch update anti_mage ability has been increased. The health value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_058","Patch update crystal_maiden ability has been tweaked. The range value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_059","Patch update anti_mage ability has been nerfed. The regeneration value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_060","Patch update phantom_assassin ability has been removed. The range value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_061","Patch update crystal_maiden ability has been nerfed. The range value was changed by 5 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_062","Patch update dragon_knight ability has been adjusted. The mana cost value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_063","Patch update phantom_assassin ability has been balanced. The attack speed value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_064","Patch update juggernaut ability has been reworked. The regeneration value was changed by 25 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_065","Patch update lina ability has been tweaked. The attack speed value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_066","Patch update phantom_assassin ability has been buffed. The mana cost value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_067","Patch update anti_mage ability has been modified. The movement speed value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_068","Patch update dragon_knight ability has been buffed. The damage value was changed by 20 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_069","Patch update anti_mage ability has been buffed. The range value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"patch_070","Patch update phantom_assassin ability has been decreased. The attack speed value was changed by 10 percent. This adjustment aims to bring the hero in line with the current meta. Players should expect different gameplay strategies in upcoming matches."
"item_071","The item monkey king bar provides bonus cooldown to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_072","The item manta style provides bonus attack speed to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_073","The item shadow blade provides bonus mana cost to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_074","The item satanic provides bonus health to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_075","The item battle fury provides bonus damage to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_076","The item heart of tarrasque provides bonus damage to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_077","The item battle fury provides bonus range to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_078","The item black king bar provides bonus movement speed to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_079","The item satanic provides bonus attack speed to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_080","The item shadow blade provides bonus movement speed to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_081","The item divine rapier provides bonus cooldown to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_082","The item monkey king bar provides bonus damage to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_083","The item monkey king bar provides bonus duration to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_084","The item satanic provides bonus duration to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_085","The item monkey king bar provides bonus health to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_086","The item satanic provides bonus cooldown to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_087","The item shadow blade provides bonus duration to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_088","The item shadow blade provides bonus damage to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_089","The item skull basher provides bonus health to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_090","The item divine rapier provides bonus armor to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_091","The item divine rapier provides bonus damage to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_092","The item skull basher provides bonus attack speed to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_093","The item heart of tarrasque provides bonus health to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_094","The item black king bar provides bonus damage to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_095","The item heart of tarrasque provides bonus mana cost to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_096","The item black king bar provides bonus mana cost to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_097","The item skull basher provides bonus mana cost to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_098","The item shadow blade provides bonus movement speed to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_099","The item battle fury provides bonus regeneration to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"item_100","The item shadow blade provides bonus regeneration to the hero. It is commonly built on carry heroes that need extra survivability and damage. The item costs significant gold but offers strong stats and passive abilities."
"match_101","In the recent match between Secret and T1, player Uzi dominated the game playing crystal_maiden with 18 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_102","In the recent match between Secret and Liquid, player Ruler dominated the game playing pudge with 11 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_103","In the recent match between Cloud9 and FNC, player Chovy dominated the game playing axe with 9 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_104","In the recent match between G2 and Liquid, player Ruler dominated the game playing crystal_maiden with 5 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_105","In the recent match between OG and Gen.G, player Caps dominated the game playing juggernaut with 11 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_106","In the recent match between Liquid and G2, player ShowMaker dominated the game playing anti_mage with 7 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_107","In the recent match between FNC and TSM, player Chovy dominated the game playing invoker with 19 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_108","In the recent match between Liquid and G2, player Uzi dominated the game playing juggernaut with 5 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_109","In the recent match between Liquid and G2, player Caps dominated the game playing invoker with 13 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_110","In the recent match between Gen.G and DRX, player Rookie dominated the game playing invoker with 13 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_111","In the recent match between G2 and FNC, player Ruler dominated the game playing phantom_assassin with 26 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_112","In the recent match between G2 and Secret, player Doinb dominated the game playing pudge with 6 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_113","In the recent match between Gen.G and OG, player Chovy dominated the game playing dragon_knight with 5 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_114","In the recent match between Cloud9 and DRX, player Chovy dominated the game playing invoker with 28 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_115","In the recent match between OG and Secret, player Viper dominated the game playing juggernaut with 5 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_116","In the recent match between Gen.G and DRX, player ShowMaker dominated the game playing juggernaut with 6 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_117","In the recent match between Cloud9 and Secret, player ShowMaker dominated the game playing axe with 9 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_118","In the recent match between T1 and Cloud9, player Ruler dominated the game playing dragon_knight with 16 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_119","In the recent match between FNC and G2, player Caps dominated the game playing anti_mage with 29 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_120","In the recent match between Liquid and TSM, player Uzi dominated the game playing invoker with 12 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_121","In the recent match between DRX and FNC, player Viper dominated the game playing dragon_knight with 10 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_122","In the recent match between Cloud9 and OG, player Knight dominated the game playing pudge with 10 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_123","In the recent match between Gen.G and OG, player Faker dominated the game playing lina with 12 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_124","In the recent match between FNC and Liquid, player Ruler dominated the game playing pudge with 30 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_125","In the recent match between FNC and G2, player Faker dominated the game playing phantom_assassin with 17 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_126","In the recent match between Cloud9 and G2, player Caps dominated the game playing pudge with 16 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_127","In the recent match between Liquid and TSM, player Rookie dominated the game playing anti_mage with 5 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_128","In the recent match between Gen.G and Cloud9, player ShowMaker dominated the game playing witch_doctor with 13 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_129","In the recent match between T1 and DRX, player Uzi dominated the game playing axe with 16 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_130","In the recent match between Cloud9 and OG, player Uzi dominated the game playing juggernaut with 8 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_131","In the recent match between TSM and FNC, player Chovy dominated the game playing dragon_knight with 27 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_132","In the recent match between TSM and T1, player Rookie dominated the game playing juggernaut with 26 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_133","In the recent match between FNC and TSM, player Viper dominated the game playing crystal_maiden with 26 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_134","In the recent match between Cloud9 and TSM, player Caps dominated the game playing pudge with 21 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_135","In the recent match between G2 and OG, player Ruler dominated the game playing axe with 27 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_136","In the recent match between G2 and Secret, player ShowMaker dominated the game playing phantom_assassin with 18 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_137","In the recent match between TSM and DRX, player Uzi dominated the game playing witch_doctor with 14 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_138","In the recent match between TSM and Secret, player Faker dominated the game playing pudge with 14 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_139","In the recent match between FNC and OG, player Uzi dominated the game playing witch_doctor with 25 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_140","In the recent match between Cloud9 and Liquid, player Doinb dominated the game playing lina with 26 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_141","In the recent match between FNC and Secret, player Doinb dominated the game playing invoker with 26 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_142","In the recent match between Gen.G and Cloud9, player Rookie dominated the game playing witch_doctor with 15 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_143","In the recent match between Gen.G and G2, player Chovy dominated the game playing phantom_assassin with 30 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_144","In the recent match between FNC and DRX, player Faker dominated the game playing dragon_knight with 12 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_145","In the recent match between OG and Gen.G, player Doinb dominated the game playing axe with 25 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_146","In the recent match between Secret and FNC, player Viper dominated the game playing lina with 17 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_147","In the recent match between FNC and DRX, player Faker dominated the game playing crystal_maiden with 29 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_148","In the recent match between TSM and FNC, player ShowMaker dominated the game playing juggernaut with 19 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_149","In the recent match between T1 and Secret, player Knight dominated the game playing crystal_maiden with 19 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
"match_150","In the recent match between DRX and Liquid, player Rookie dominated the game playing juggernaut with 24 kills. The team coordinated objectives and secured map control. Their ultimate timings were perfect throughout the team fights."
